Commits group by year,,
Year,Commits,Type
2013,1417,react
2014,1941,react
2015,2656,react
2016,1874,react
2017,1659,react
2018,1014,react
2019,2134,react
2020,1081,react
2021,778,react
2013,0,vue
2014,0,vue
2015,0,vue
2016,1511,vue
2017,966,vue
2018,311,vue
2019,282,vue
2020,63,vue
2021,73,vue
2013,0,svelte
2014,0,svelte
2015,0,svelte
2016,408,svelte
2017,1558,svelte
2018,1288,svelte
2019,2280,svelte
2020,520,svelte
2021,445,svelte
2013,0,angular
2014,316,angular
2015,3367,angular
2016,2613,angular
2017,3001,angular
2018,3253,angular
2019,4157,angular
2020,3122,angular
2021,2278,angular