Year,Issues,Type
2013,775,react
2014,2017,react
2015,2928,react
2016,2877,react
2017,3236,react
2018,2522,react
2019,3222,react
2020,2712,react
2021,2219,react
2013,51,vue
2014,610,vue
2015,1168,vue
2016,2319,vue
2017,2719,vue
2018,1904,vue
2019,1610,vue
2020,845,vue
2021,506,vue
2013,0,svelte
2014,0,svelte
2015,0,svelte
2016,236,svelte
2017,826,svelte
2018,862,svelte
2019,2235,svelte
2020,1607,svelte
2021,1065,svelte
2013,0,angular
2014,347,angular
2015,5872,angular
2016,7543,angular
2017,7505,angular
2018,6604,angular
2019,6529,angular
2020,5354,angular
2021,3645,angular