Year,Users,Type
2013,92,react
2014,267,react
2015,400,react
2016,362,react
2017,341,react
2018,190,react
2019,139,react
2020,160,react
2021,85,react
2013,0,vue
2014,0,vue
2015,0,vue
2016,65,vue
2017,130,vue
2018,110,vue
2019,54,vue
2020,25,vue
2021,28,vue
2013,0,svelte
2014,0,svelte
2015,0,svelte
2016,14,svelte
2017,34,svelte
2018,47,svelte
2019,224,svelte
2020,122,svelte
2021,128,svelte
2013,0,angular
2014,21,angular
2015,199,angular
2016,281,angular
2017,276,angular
2018,369,angular
2019,392,angular
2020,335,angular
2021,238,angular